ru,pt
господа ,senhores 
слушайте ,ouvir 
наше ,nosso 
машине ,carro 
сэм ,Sam 
свет ,luz 
образом ,caminho 
иметь ,ter 
другое ,outro 
другого ,outro 
шесть ,seis 
людям ,para as pessoas 
погоди ,espere 
имени ,nome 
детка ,Querida 
недели ,semanas 
меньше ,menos 
легко ,facilmente 
крайней ,extremo 
девочка ,garota 
придётся ,terá que 
мало ,alguns 
ненавижу ,Eu odeio 
you ,você 
последние ,mais recente 
насчёт ,sobre 
выглядишь ,você olha 
сообщение ,mensagem 
думает ,pensa 
друзей ,amigos 
обещаю ,Eu prometo 
агент ,agente 
вместо ,em vez de 
последнее ,o último 
самого ,o mais 
настолько ,então 
ответ ,responder 
детектив ,detetive 
понятия ,conceitos 
родители ,pais 
показать ,mostrar 
поехали ,vamos 
стало ,tornou-se 
мэм ,senhora 
своими ,seus próprios 
всей ,todos 
очевидно ,obviamente 
помогите ,Ajuda 
маленький ,pequeno 
школу ,escola 
пожаловать ,Bem-vindo 
твоё ,seu 
либо ,ou 
забрать ,pegar 
прошло ,passou 
особенно ,especialmente 
имеешь ,você tem 
истории ,histórias 
эм ,Em 
вопросы ,questões 
большая ,grande 
минутку ,espere um minuto 
пол ,chão 
остановить ,parar 
чему ,o que 
свидания ,datas 
обязательно ,Necessariamente 
городе ,cidade 
убийца ,assassino 
сделай ,faça isso 
a ,um 
ваших ,seu 
любви ,amor 
спокойной ,calma 
б ,b 
своё ,seu próprio 
мадам ,senhora 
идите ,ir 
выйти ,sair 
делают ,eles fazem 
немедленно ,imediatamente 
делай ,faça isso 
возможность ,oportunidade 
человеком ,humano 
бывает ,Acontece 
ужин ,jantar 
моем ,meu 
купить ,comprar 
позвонить ,chamar 
наконец ,finalmente 
стала ,tornou-se 
любой ,qualquer 
клянусь ,Juro 
смешно ,engraçado 
абсолютно ,absolutamente 
всему ,para tudo 
переводчики ,tradutores 
забудь ,esquecer 
секунду ,um segundo 
выбор ,escolha 
тысяч ,milhares 
потерял ,perdido 
майкл ,Miguel 
волнуйся ,preocupar 
ноги ,pernas 
таком ,tal 
настоящий ,real 
означает ,significa 
встретиться ,encontrar 
известно ,isso é conhecido 
работаю ,Trabalhando 
замечательно ,Incrível 
любом ,qualquer 
оставь ,deixar 
связи ,conexões 
боль ,dor 
выпить ,beber 
представить ,introduzir 
убийства ,assassinatos 
малыш ,Bebê 
умерла ,morreu 
воды ,água 
окей ,OK 
речь ,discurso 
хорошие ,bom 
поводу ,sobre 
перестань ,pare com isso 
увидел ,serra 
повезло ,sortudo 
президент ,presidente 
мужик ,homem 
которым ,qual 
прошлом ,passado 
дам ,Eu darei 
десять ,dez 
умереть ,morrer 
поговорим ,vamos conversar 
отцом ,pai 
искать ,procurar 
тихо ,quieto 
оставил ,esquerda 
пистолет ,pistola 
начал ,iniciado 
сложно ,difícil 
города ,cidades 
неделе ,semana 
хотелось ,desejado 
принять ,aceitar 
историю ,história 
босс ,chefe 
держать ,segurar 
пойдём ,vamos 
подумала ,Eu pensei 
фильм ,filme 
слышишь ,você ouve? 
рано ,cedo 
удачи ,Boa sorte 
еду ,Eu vou 
словно ,como se 
причина ,causa 
пришёл ,veio 
э ,Eh 
компании ,empresas 
спокойно ,calmamente 
работал ,trabalhado 
подумать ,pense nisso 
вести ,liderar 
вещь ,coisa 
брата ,irmão 
конца ,fim 
получится ,vai dar certo 
блин ,Besteira 
право ,certo 
ввиду ,tendo em vista 
бога ,Deus 
по-моему ,na minha opinião 
подарок ,presente 
комнату ,sala 
мира ,paz 
успокойся ,acalmar 
позволить ,permitir 
моему ,meu 
идёт ,está chegando 
самая ,o mais 
рассказал ,contado 
курсе ,curso 
намного ,muito 
мистера ,senhor 
женщин ,mulheres 
тяжело ,duro 
ух ,uau 
предложение ,oferecer 
